name,genres,popularity
Rage Against The Machine,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'hard rock', 'nu metal', 'political hip hop', 'post-grunge', 'rap metal', 'rap rock', 'rock']",72
Busta Rhymes,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",72
Joyner Lucas,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",69
Fenix Flexin,['cali rap'],68
Project Pat,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'trap']",68
Yung Gravy,"['meme rap', 'minnesota hip hop']",68
Agust D,['k-rap'],77
E-40,"['cali rap', 'gangster rap', 'hyphy', 'oakland hip hop', 'west coast rap']",67
Vince Staples,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']",69
Ramirez,"['cloud rap', 'dark trap', 'phonk']",67
Internet Money,"['pop rap', 'trap']",70
Larry June,['cali rap'],67
Nipsey Hussle,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",68
Clams Casino,"['cloud rap', 'experimental hip hop', 'instrumental hip hop', 'psychedelic hip hop']",71
Insane Clown Posse,['rap rock'],67
Nardo Wick,"['florida drill', 'florida rap', 'southern hip hop']",67
The Game,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72
Soulja Boy,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",70
Freddie Dredd,"['meme rap', 'phonk']",70
Ella Mai,"['r&b', 'rap', 'uk contemporary r&b', 'urban contemporary']",69
Quinn XCII,['indie pop rap'],66
Baby Smoove,"['detroit hip hop', 'detroit trap', 'scam rap']",65
Hollywood Undead,"['alternative metal', 'modern rock', 'post-grunge', 'rap metal', 'rap rock']",69
Blxst,"['pop rap', 'westcoast flow']",69
Sheff G,"['brooklyn drill', 'new york drill', 'nyc rap']",69
Macklemore & Ryan Lewis,"['pop rap', 'seattle hip hop']",73
Saweetie,"['cali rap', 'trap queen']",70
