name,genres,popularity
Johnning,"['gaming edm', 'pop edm']",54
Felix Cartal,"['canadian electronic', 'electro house', 'pop dance', 'pop edm']",49
Clarx,['gaming edm'],51
Tobu,['gaming edm'],52
Feed Me,"['brostep', 'complextro', 'edm', 'electro house', 'filthstep']",48
Malaa,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'house']",49
Dillistone,['pop edm'],54
Codeko,"['gaming edm', 'melodic dubstep', 'pop edm']",45
Bhaskar,"['brazilian bass', 'brazilian edm', 'brazilian house']",58
Mesto,"['dutch edm', 'future house', 'pop dance', 'progressive electro house']",50
Tommy Trash,"['aussietronica', 'australian dance', 'dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'progressive house']",53
Elephante,"['pop dance', 'pop edm']",46
Ritviz,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm', 'indian indie']",57
Jessica Audiffred,"['dubstep', 'mexican edm']",44
Trobi,"['dutch edm', 'lustrum', 'pop edm']",61
Whales,"['bass trap', 'dubstep', 'gaming edm']",51
Revelries,['dutch edm'],56
LVNDSCAPE,"['deep tropical house', 'pop dance', 'pop edm']",52
Keys N Krates,"['brostep', 'edm', 'electro house', 'electronic trap', 'livetronica']",46
Midnight Kids,['pop edm'],45
Far Out,"['melodic dubstep', 'pop edm', 'traprun']",47
Filatov & Karas,"['russian dance', 'russian edm', 'russian pop']",58
Warriyo,['belgian edm'],55
Moksi,"['bass house', 'brostep', 'dutch edm', 'electro house', 'electronic trap']",47
Flosstradamus,"['brostep', 'edm', 'electro house', 'electronic trap', 'mashup']",44
Party Pupils,['pop edm'],46
Raaban,"['deep pop edm', 'nordic house']",55
Taska Black,"['bass trap', 'future bass', 'pop edm', 'vapor twitch']",45
Vigiland,"['deep pop edm', 'electronic trap']",54
Elektronomia,['gaming edm'],52
Au5,"['brostep', 'chillstep', 'complextro', 'dubstep', 'electro house', 'filthstep', 'gaming edm', 'melodic dubstep']",45
Justin Caruso,['pop edm'],46
Ilkan Gunuc,"['turkish deep house', 'turkish edm']",56
Michael Calfan,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",51
yetep,"['melodic dubstep', 'pop edm']",42
Diamond Eyes,['gaming edm'],49
The Him,"['big room', 'deep tropical house', 'pop dance', 'pop edm']",47
Third Party,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",51
Vanic,"['bass trap', 'future bass', 'pop edm']",45
Philip Strand,"['deep pop edm', 'tropical house']",53
Dada Life,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",48
Weird Genius,['indonesian edm'],53
Aero Chord,"['bass trap', 'gaming edm']",48
Andrew Rayel,"['dutch house', 'edm', 'moldovan pop', 'progressive house', 'trance']",50
Liu,['brazilian edm'],56
Janji,['gaming edm'],53
Dirty South,"['australian dance', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",48
Dyro,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",49
Ekali,"['brostep', 'canadian electronic', 'edm', 'electro house', 'electronic trap', 'future bass', 'vapor twitch']",43
Leon Leiden,"['mexican edm', 'urbano mexicano']",54
Zaeden,"['desi pop', 'hindi indie', 'indian edm']",55
Sick Individuals,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",50
Young Bombs,['pop edm'],44
SNBRN,"['edm', 'electro house', 'house', 'pop dance', 'pop edm', 'uk dance']",44
Mat Zo,"['complextro', 'edm', 'electro house', 'progressive house']",44
Shane 54,['pop edm'],42
Crystal Skies,"['melodic dubstep', 'pop edm']",42
Culture Code,"['filthstep', 'gaming edm', 'melodic dubstep', 'pop edm']",47
Nexeri,"['russian edm', 'tropical house']",53
illusionize,"['brazilian bass', 'brazilian edm', 'brazilian house']",56
Bruno Be,['brazilian edm'],55
CMC$,"['pop edm', 'vapor twitch']",52
Mandragora,"['brazilian edm', 'mexican edm', 'trance mexicano']",56
Stonebank,"['brostep', 'complextro', 'gaming edm']",47
WRLD,"['complextro', 'future bass', 'gaming edm']",43
Dimitri Vangelis & Wyman,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",49
Sleepy Tom,"['canadian electronic', 'pop edm']",47
MYRNE,"['future bass', 'gaming edm', 'melodic dubstep', 'pop edm', 'singaporean electronic', 'singaporean pop', 'vapor twitch']",44
Gabriel & Dresden,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",47
Marc Benjamin,"['big room', 'dutch edm', 'slap house']",49
GATTÜSO,['pop edm'],49
Wolfgang Gartner,"['complextro', 'edm', 'electro house', 'house', 'progressive electro house']",44
Boston Bun,"['filter house', 'pop edm']",49
Drenchill,['pop edm'],55
Leah Culver,['pop edm'],43
Embody,"['deep tropical house', 'pop edm']",50
EQRIC,"['covertronica', 'pop edm']",51
Different Heaven,['gaming edm'],50
Dwin,"['lithuanian edm', 'lithuanian electronic']",50
GOLDHOUSE,['pop edm'],44
PSYQUI,"['kawaii edm', 'rhythm game']",49
DallasK,"['complextro', 'dutch house', 'electro house', 'pop edm', 'progressive electro house', 'sky room']",47
Ahrix,['gaming edm'],50
NIVIRO,['gaming edm'],48
Markus Schulz,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance']",47
Rogue,"['chillstep', 'complextro', 'filthstep', 'gaming edm', 'melodic dubstep']",42
Ashibah,['brazilian edm'],53
Vincent,"['future bass', 'pop edm', 'vapor twitch']",40
MATTN,"['belgian edm', 'sky room']",52
La Fuente,"['dutch edm', 'dutch house']",55
FRND,['pop edm'],42
Nitro Fun,"['gaming edm', 'speedrun']",43
Tim Berg,"['edm', 'electro house', 'pop dance', 'progressive electro house']",51
Braken,['gaming edm'],44
Anna Yvette,['gaming edm'],46
Peking Duk,"['aussietronica', 'australian electropop', 'australian indie', 'edm']",52
Lotus,['deep pop edm'],53
RetroVision,"['gaming edm', 'pop edm', 'sky room']",47
SMACK,['lithuanian edm'],52
Sander van Doorn,"['dutch house', 'dutch trance', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",48
Amidy,"['melodic dubstep', 'pop edm']",41
Manila Killa,"['future bass', 'pop edm', 'vapor twitch']",41
Dirty Palm,"['gaming edm', 'melbourne bounce', 'melbourne bounce international']",47
JØRD,['brazilian edm'],53
BLR,['dutch edm'],48
Tennyson,"['edmonton indie', 'future bass', 'vapor twitch']",42
Schillist,"['brazilian bass', 'brazilian edm']",51
Leat'eq,"['ukrainian edm', 'ukrainian electronic']",48
Robby East,"['dutch edm', 'future house']",45
Diviners,['gaming edm'],49
Madison Mars,"['dutch house', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'sky room']",48
VOLAC,"['bass house', 'brazilian edm', 'tech house']",46
Alix Perez,"['belgian edm', 'drum and bass', 'halftime dnb', 'liquid funk']",46
Last Heroes,"['melodic dubstep', 'pop edm']",40
Zeus X Crona,['indian edm'],49
Latroit,['edm'],43
Mariana BO,['mexican edm'],51
Julian Jordan,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",45
Tom & Collins,['mexican edm'],48
Hogland,"['deep pop edm', 'swedish tropical house']",51
Ephixa,"['canadian electronic', 'chillstep', 'complextro', 'edm', 'filthstep', 'gaming edm']",41
DLMT,['pop edm'],46
KEAN DYSSO,"['g-house', 'lithuanian edm']",49
Dzeko & Torres,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'sky room']",46
CAZZETTE,"['complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house']",44
Lujavo,['mexican edm'],50
Axel Thesleff,"['bass trap', 'finnish edm']",47
Direct,"['chillstep', 'gaming edm', 'melodic dubstep']",42
Such,['kawaii edm'],47
Steff da Campo,"['dutch house', 'electro house', 'pop edm', 'sky room']",51
Thomas Gold,"['big room', 'dutch house', 'edm', 'electro house', 'german techno', 'pop dance', 'progressive electro house', 'progressive house']",49
Super8 & Tab,"['finnish edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",46
Nucleya,"['desi hip hop', 'hindi hip hop', 'indian edm', 'indian indie']",51
Halvorsen,['gaming edm'],45
Jay Hardway,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",47
MBNN,['russian edm'],50
Justin Mylo,"['dutch house', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'sky room']",46
Krale,['gaming edm'],46
電音部,['kawaii edm'],47
VINNE,['brazilian edm'],47
Joe Stone,"['deep groove house', 'house', 'pop edm']",48
Mr FijiWiji,"['chillstep', 'complextro', 'gaming edm']",41
Chocolate Puma,"['dutch edm', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",47
Slippy,"['gaming edm', 'melodic dubstep']",41
