name,genres,popularity
Grivo,"['american shoegaze', 'doomgaze', 'grungegaze', 'texasgaze']",27
Course Of Nature,"['grunge pop', 'hard alternative']",29
Dust For Life,['grunge pop'],25
Flipper,"['early us punk', 'experimental rock', 'grunge', 'hardcore punk', 'noise rock', 'post-hardcore', 'post-punk', 'punk']",26
Mascara,['grungegaze'],25
Gruntruck,"['funk metal', 'grunge', 'underground grunge']",27
Hayien,"['german shoegaze', 'grungegaze']",27
Scratch Acid,"['art punk', 'grunge', 'noise rock', 'post-hardcore', 'texas punk']",25
Love Battery,"['grunge', 'underground grunge']",27
Skin Yard,"['grunge', 'underground grunge']",26
Fang,"['grunge', 'hardcore punk']",25
Forty Foot Echo,"['canadian rock', 'grunge pop', 'oth indie']",27
Caroline's Spine,['grunge pop'],22
Joyous Wolf,"['modern hard rock', 'post-grunge']",25
Deafcult,"['australian shoegaze', 'brisbane indie', 'grungegaze', 'nu gaze', 'shoegaze']",24
Oversize,['grungegaze'],26
cursetheknife,['grungegaze'],24
Spotlights,"['doomgaze', 'grungegaze', 'nyc metal', 'post-metal']",25
Dexter Freebish,['grunge pop'],22
Warm,"['american shoegaze', 'doomgaze', 'grungegaze']",23
Operator,['grunge pop'],24
Daisy Chainsaw,"['grebo', 'riot grrrl', 'underground grunge']",22
Full Devil Jacket,"['alternative metalcore', 'grunge pop', 'hard alternative']",22
Dosser,['grungegaze'],23
Socialburn,"['grunge pop', 'hard alternative']",21
The Daysleepers,"['american shoegaze', 'buffalo ny indie', 'dreamgaze', 'grungegaze', 'indie shoegaze', 'nu gaze', 'shoegaze']",24
Sign Language,"['grungegaze', 'zoomergaze']",21
3rd Secret,['grunge'],25
For Love Not Lisa,['underground grunge'],23
Malfunkshun,"['funk metal', 'grunge']",22
Animal Ghosts,"['cascadia shoegaze', 'grungegaze', 'nu gaze', 'shoegaze']",21
Doubledrive,['grunge pop'],21
Ingram Hill,"['acoustic pop', 'grunge pop']",20
velora,"['grungegaze', 'zoomergaze']",20
Treepeople,"['gbvfi', 'grunge', 'lo-fi']",19
Deserta,"['grungegaze', 'nu gaze', 'shoegaze']",22
Luna Halo,['grunge pop'],23
Flickerstick,"['denton tx indie', 'grunge pop']",18
Catherine,"['grungegaze', 'spacegrunge']",20
Seer Believer,['grungegaze'],19
Big Spring,"['modern alternative rock', 'post-grunge']",23
Audiobaton,"['grungegaze', 'texasgaze']",19
J.R. Richards,['grunge pop'],23
Creepoid,"['grungegaze', 'indie punk']",19
The Gutter Twins,"['grunge', 'supergroup']",24
Fastbacks,['grunge'],20
Blush Response,"['adelaide indie', 'australian shoegaze', 'grungegaze']",19
Pure Hex,['grungegaze'],18
Athenaeum,"['grunge pop', 'modern uplift']",19
Kicking Harold,['grunge revival'],22
Injected,['grunge pop'],18
Eleven,['grunge'],22
Downface,"['grunge', 'underground grunge']",21
Blood Circus,['underground grunge'],19
Flowerbed,"['grungegaze', 'texasgaze']",15
U-Men,"['grunge', 'underground grunge']",17
Sinch,"['grunge pop', 'philly indie', 'progressive alternative']",19
Paloalto,['grunge pop'],19
Smile,['underground grunge'],16
Bam Bam,"['black punk', 'underground grunge']",17
Satchel,['grunge'],18
Sugartooth,['grunge'],16
Stir,['grunge pop'],14
Greenwheel,['grunge pop'],15
Killdozer,"['grunge', 'noise rock', 'post-hardcore']",15
Vonray,['grunge pop'],23
Big Chief,"['funk metal', 'grunge']",13
Seventh Dose,"['grungegaze', 'zoomergaze']",16
8stops7,['grunge pop'],15
Big Dismal,['grunge pop'],15
No Sun,"['american shoegaze', 'grungegaze', 'slc indie']",15
Hammerbox,"['grunge', 'underground grunge']",17
Bloody Knees,"['cambridgeshire indie', 'english indie rock', 'post-grunge']",17
kairo.,['grungegaze'],13
Mondaze,['grungegaze'],16
Gas Huffer,"['grunge', 'underground grunge']",15
LOCKSTEP,['grungegaze'],14
Dig,['grunge'],14
Hazel,"['grunge', 'portland punk', 'underground grunge']",13
Die Trying,['grunge pop'],13
Pond,"['grunge', 'underground grunge']",14
Dandelion,"['grunge', 'philly indie', 'underground grunge']",14
Stereo Fuse,['grunge pop'],12
Epidemic,['grunge pop'],13
Sweet Water,['underground grunge'],12
Neve,['grunge pop'],16
Closure,"['grunge pop', 'hard alternative', 'heavy alternative']",15
July For Kings,['grunge pop'],14
Hater,"['grunge', 'underground grunge']",14
AM Radio,['grunge pop'],17
Bliss 66,['grunge pop'],13
Low Millions,['grunge pop'],13
Smelter,"['grungegaze', 'zoomergaze']",11
The Nymphs,"['grunge', 'underground grunge']",13
Lucy's Fur Coat,['underground grunge'],12
Modern Day Zero,"['grunge pop', 'hard alternative']",12
Jeff Ament,['grunge'],16
Truly,"['grunge', 'underground grunge']",15
Coffin Break,"['grunge', 'underground grunge']",12
Piratas Siderais,"['grunge brasileiro', 'novo rock gaucho']",26
Stompbox,['underground grunge'],11
Adiós Cometa,['grungegaze'],20
Goodness,['grunge'],9
Mixed Up Everything,['grunge revival'],18
Anorexia Isan,['grunge revival'],16
My Sister's Machine,['underground grunge'],12
Chout,['grunge revival'],11
Neon Cathedral,['grungegaze'],10
Memento,['grunge pop'],11
Home Town Hero,['grunge pop'],9
Wellwater Conspiracy,['grunge'],12
Rein Sanction,"['grunge', 'underground grunge']",10
Flop,['grunge'],11
Clearbody,['grungegaze'],9
Only Sibling,['grungegaze'],9
Lacing,"['american shoegaze', 'chattanooga indie', 'grungegaze']",9
SouthFM,['grunge pop'],8
10 Minute Warning,['underground grunge'],9
Violet Soda,"['brazilian rock', 'grunge brasileiro']",17
Feedtime,"['noise punk', 'underground grunge']",10
Comes With The Fall,['grunge'],10
Bad Bloom,"['5th wave emo', 'grungegaze', 'new york shoegaze']",10
Senium,['grunge revival'],10
XO,['grungegaze'],8
Green Apple Quick Step,['underground grunge'],9
Glia,"['chill dream pop', 'grungegaze', 'texasgaze']",8
Jeremiah Freed,"['grunge pop', 'maine indie']",6
Midnight To Twelve,"['grunge pop', 'modern uplift']",8
Janitor Joe,['underground grunge'],8
Alcohol Funnycar,"['grunge', 'underground grunge']",8
Inger Lorre,['underground grunge'],8
Noiseheads,['grunge revival'],8
Cinder Road,"['grunge pop', 'heavy alternative']",8
Collapsis,['grunge pop'],5
No Address,['grunge pop'],6
Iris,"['canadian shoegaze', 'grungegaze']",7
Guzzard,"['grunge', 'noise rock']",7
Kerbdog,"['irish rock', 'post-grunge', 'underground grunge']",19
The Know,['grungegaze'],11
False Advertising,"['manchester indie', 'post-grunge']",10
Lubricated Goat,"['noise punk', 'underground grunge']",8
Gumball,['underground grunge'],8
Mono men,['underground grunge'],5
Holy Figures,['grungegaze'],5
Thread,['underground grunge'],5
The Monkeywrench,['underground grunge'],5
Wool,['grunge'],6
The Fluid,['underground grunge'],5
Napalm Beach,"['grunge', 'portland punk', 'underground grunge']",5
Dead Rituals,['grungegaze'],7
Thrillhammer,['underground grunge'],6
The Rising,['grunge pop'],6
Mono men,['underground grunge'],5
Black Sunshine,"['grunge pop', 'heavy alternative', 'instrumental soul']",6
Bundle Of Hiss,"['grunge', 'underground grunge']",6
Swirlpool,"['german shoegaze', 'grungegaze']",7
Urbanites,"['grunge brasileiro', 'pop rock brasileiro']",13
Familiar 48,['grunge pop'],4
Averi,['grunge pop'],4
Dogman,"['brazilian stoner rock', 'grunge brasileiro', 'rock goiano']",15
BIGGER,"['argentine alternative rock', 'grunge argentina']",15
Connor Questa,"['argentine alternative rock', 'grunge argentina']",15
Union Youth,['grunge revival'],9
A VOID,['grunge revival'],9
Justincase,['grunge pop'],5
Dakona,['grunge pop'],5
YGGL,['grunge revival'],7
Bullet Lavolta,['underground grunge'],6
Lever,"['chicago pop punk', 'grunge revival']",5
Flour,['underground grunge'],5
