name,genres,popularity
Janelle Monáe,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'neo soul', 'r&b']",68
Estelle,"['neo soul', 'r&b']",67
Fivio Foreign,"['brooklyn drill', 'new york drill', 'rap', 'trap']",67
Jenni Rivera,"['banda', 'mariachi', 'musica mexicana', 'ranchera', 'regional mexicano femenil']",70
Kelly Rowland,"['atl hip hop', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",70
Janet Jackson,"['dance pop', 'r&b', 'urban contemporary']",67
Joe,"['contemporary r&b', 'r&b', 'urban contemporary']",66
112,"['atl hip hop', 'boy band', 'contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",68
Blur,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",71
Timmy Trumpet,"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international', 'pop dance']",73
Paul Russell,['indie r&b'],66
BROCKHAMPTON,"['boy band', 'rap']",65
Cleo Sol,"['alternative r&b', 'uk contemporary r&b', 'uk funky']",68
Neoni,['dark r&b'],70
Cassie,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",68
Liberación,"['banda', 'grupera', 'gruperas inmortales', 'grupero romantico', 'musica mexicana', 'norteno', 'tejano']",68
Lil Jon & The East Side Boyz,"['atl hip hop', 'atlanta bass', 'crunk', 'dirty south rap', 'old school atlanta hip hop', 'southern hip hop']",64
Snoh Aalegra,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",67
SDM,"['french hip hop', 'pop urbaine', 'r&b francais']",80
W&W,"['big room', 'dutch house', 'dutch trance', 'edm', 'electro house', 'pop dance', 'progressive electro house']",74
Vundabar,"['boston indie', 'indie garage rock', 'pov: indie']",65
Syd,"['alternative r&b', 'lgbtq+ hip hop']",65
Little Simz,"['alternative r&b', 'escape room', 'trap queen']",72
Eve,"['contemporary r&b', 'dance pop', 'hip pop', 'philly rap', 'r&b', 'urban contemporary']",68
Chuck Berry,"['blues', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",68
Mk.gee,['experimental r&b'],64
LUDMILLA,"['funk carioca', 'funk pop', 'funk rj', 'pagode baiano', 'pop nacional']",78
80purppp,['bedroom r&b'],65
Eem Triplin,['bedroom r&b'],62
Jadakiss,"['battle rap', 'east coast hip hop', 'trap']",66
Coco Jones,['pop r&b'],64
Sampha,"['alternative r&b', 'indie soul']",67
Rico Nasty,"['alternative r&b', 'trap queen']",64
Frankie Valli & The Four Seasons,"['adult standards', 'bubblegum pop', 'doo-wop', 'lounge', 'northern soul', 'rock-and-roll', 'rockabilly']",65
Leo Dan,"['bolero', 'cancion melodica', 'latin pop', 'ranchera']",72
Boyz II Men,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",68
Kirk Franklin,"['gospel', 'gospel r&b']",63
Kaash Paige,['contemporary r&b'],68
Buffalo Springfield,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'southern rock']",65
Merle Haggard,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']",62
Benny The Butcher,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'hip hop', 'upstate ny rap']",63
Filipe Ret,['pop rap brasileiro'],79
The Animals,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'protopunk', 'psychedelic rock', 'rock']",67
The Kinks,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']",66
Elle King,['modern blues rock'],63
The Avett Brothers,"['indie folk', 'new americana', 'north carolina indie', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']",61
Mase,"['contemporary r&b', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",65
Shordie Shordie,"['baltimore hip hop', 'cali rap']",60
Billie Holiday,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul', 'swing', 'torch song', 'vocal jazz']",66
Lil' Kim,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']",65
ThxSoMch,['bedroom r&b'],67
SWV,"['contemporary r&b', 'girl group', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']",63
Dusty Springfield,"['adult standards', 'british invasion', 'folk rock', 'soul', 'vocal jazz']",68
Nathaniel Rateliff & The Night Sweats,"['indie folk', 'modern blues rock', 'new americana', 'stomp and holler']",61
Malcolm Todd,['bedroom r&b'],62
Avenoir,['alternative r&b'],64
Judas Priest,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']",67
Jordan Ward,"['indie hip hop', 'indie r&b']",63
Swizz Beatz,"['battle rap', 'dirty south rap', 'southern hip hop', 'trap']",63
Dutch Melrose,['dark r&b'],66
Monica,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",65
grentperez,['bedroom r&b'],65
The Band,"['blues rock', 'classic canadian rock', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'heartland rock', 'jam band', 'mellow gold', 'rock', 'roots rock', 'southern rock', 'swamp rock']",62
Dwight Yoakam,"['bakersfield sound', 'country', 'country rock']",61
The Ronettes,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll']",66
Jazmine Sullivan,"['hip pop', 'neo soul', 'r&b', 'urban contemporary']",62
Ari Lennox,['alternative r&b'],62
Jay Park,"['k-pop', 'k-rap', 'korean r&b']",67
Los Yonic's,"['banda', 'grupera', 'gruperas inmortales', 'musica mexicana', 'norteno', 'ranchera']",67
Faith Evans,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",67
Blackstreet,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",65
Ravyn Lenae,"['alternative r&b', 'indie soul']",62
The Kooks,"['brighton indie', 'garage rock', 'modern rock', 'rock']",69
Bobby V.,"['contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",63
ELENA ROSE,['r&b en espanol'],71
Carole King,"['brill building pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",64
Stevie Ray Vaughan,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'instrumental rock', 'rock', 'texas blues']",63
Arcade Fire,"['alternative rock', 'baroque pop', 'canadian indie', 'canadian indie rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'permanent wave', 'quebec indie', 'rock']",65
Conway the Machine,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'upstate ny rap']",62
The Hollies,"['album rock', 'british invasion', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'soft rock']",65
Hungria,"['brazilian hip hop', 'rap df', 'sertanejo universitario']",77
Cream,"['album rock', 'blues rock', 'british blues', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'singer-songwriter', 'supergroup']",64
