name,genres,popularity
B.o.B,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",74
Alesso,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",77
Kim Petras,"['alt z', 'dance pop', 'pop', 'transpop']",76
Men I Trust,"['indie pop', 'pov: indie']",72
Lauv,['pop'],76
Zara Larsson,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",78
Backstreet Boys,"['boy band', 'dance pop', 'pop']",78
Omar Apollo,"['bedroom pop', 'bedroom soul']",70
A Day To Remember,"['alternative metal', 'metalcore', 'neon pop punk', 'pop punk', 'screamo']",70
Addison Rae,['social media pop'],74
Cavetown,"['bedroom pop', 'indie pop', 'pov: indie']",71
ATEEZ,"['k-pop', 'k-pop boy group']",74
Morat,"['colombian pop', 'latin viral pop']",83
Pusha T,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']",72
MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",74
Tears For Fears,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",75
Mark Ambor,['singer-songwriter pop'],76
Maria Becerra,"['pop argentino', 'urbano latino']",82
Rema,"['afrobeats', 'nigerian pop']",79
Big Thief,"['art pop', 'brooklyn indie', 'chamber pop', 'countrygaze', 'indie pop', 'indie rock', 'pov: indie', 'small room']",71
Anne-Marie,['pop'],79
Reik,"['latin arena pop', 'latin pop', 'mexican pop', 'reggaeton', 'urbano latino']",79
The Fray,"['neo mellow', 'piano rock', 'pop', 'pop rock']",73
Marco Antonio Solís,"['grupera', 'latin pop', 'musica mexicana', 'ranchera']",76
will.i.am,"['dance pop', 'pop']",75
Swedish House Mafia,"['edm', 'pop dance', 'progressive electro house']",77
Bastille,"['metropopolis', 'modern rock', 'pop']",75
Mazzy Star,"['dream pop', 'melancholia', 'shoegaze', 'slowcore']",72
Mary J. Blige,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",72
Julia Michaels,['pop'],74
