name,genres,popularity
Yeah Yeah Yeahs,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave']",68
Walker Hayes,"['contemporary country', 'country', 'country road', 'modern country rock']",65
Good Charlotte,"['alternative metal', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']",67
The Score,"['modern alternative rock', 'pov: indie']",69
Goth Babe,"['indie rock', 'pov: indie']",63
Alanis Morissette,"['canadian pop', 'canadian singer-songwriter', 'lilith', 'neo mellow', 'pop rock', 'singer-songwriter']",69
Supertramp,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",71
Simple Plan,"['canadian pop punk', 'canadian punk', 'canadian rock', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock']",70
CAKE,"['alternative rock', 'pop rock', 'post-grunge', 'sacramento indie']",64
Skylar Grey,"['piano rock', 'viral pop']",69
Joey Valence & Brae,['rap rock'],66
The Temper Trap,"['indietronica', 'modern rock', 'shimmer pop']",69
Cocteau Twins,"['alternative rock', 'art pop', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'scottish indie', 'scottish shoegaze', 'shoegaze', 'synthpop']",66
Fleet Foxes,"['chamber pop', 'folk', 'indie folk', 'indie rock', 'indietronica', 'modern rock', 'seattle indie', 'singer-songwriter', 'stomp and holler']",65
La Oreja de Van Gogh,"['latin arena pop', 'latin pop', 'mexican pop', 'spanish pop', 'spanish pop rock']",76
Shane & Shane,"['ccm', 'christian alternative rock', 'christian music', 'roots worship', 'worship']",64
Portugal. The Man,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",68
Volbeat,"['danish metal', 'danish rock']",70
Los Enanitos Verdes,"['argentine rock', 'latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'ska argentino']",74
Wham!,"['new romantic', 'new wave', 'new wave pop', 'soft rock']",70
George Harrison,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",69
Rebelution,['reggae rock'],63
Smash Mouth,"['pop rock', 'post-grunge']",68
Theory of a Deadman,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",64
Dayglow,"['austindie', 'indie rock', 'pov: indie']",66
Slayer,"['alternative metal', 'death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",68
Crowder,"['ccm', 'christian alternative rock', 'christian music']",62
Two Feet,"['indie poptimism', 'modern rock']",71
Death Cab for Cutie,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'seattle indie', 'washington indie']",64
Crowded House,"['australian rock', 'permanent wave']",71
Kansas,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock']",68
Men At Work,"['album rock', 'australian rock', 'classic rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",70
